team,video,title,ko_translate,ko_read,en_read,sub1,sub2,sub3
케이온,https://www.youtube.com/watch?time_continue=6&v=G9n65zuZdPk&feature=emb_title,Ohayou Mata Ashita,좋은아침 내일봐,오하요우마타아시아,Ohayou Mata Ashita,,,
케이온,https://www.youtube.com/watch?v=ZGuXHxZNozg&feature=emb_title,Girls in Wonderland,,걸즈 인 원더랜드,Girls in wonderland,,,
케이온,https://youtu.be/GWXuxVumX2I,Our Magic,우리마법,아워매직,Our Magic,,,
케이온,https://youtu.be/ac-u2Mr0UFM,Death Devil Maddy Candy,,데스데빌매디캔디,Death Devil Maddy Candy,,,
케이온,https://youtu.be/D_DqV9G1CvU,Cagayake! Girls,,카가야케 걸즈,Cagayake girls,,,
케이온,https://youtu.be/B4mE6e2CUOU,밥은 반찬,밥은 반찬,고항와오카즈,Gohan wa Okazu,,,
케이온,https://youtu.be/vgpyMGb2vYY,Unmei wa Endless!,운명은엔드리스,운메이와엔드리스,Unmei wa endless,,,
케이온,https://youtu.be/EV-bDK_aipw,Go! Go! Maniac,,고고매니악,GoGoManiac,,,
케이온,https://youtu.be/ZpH7-axD_NI,내 사랑은 호치키스,내 사랑은 호치키스,와타시노코이와호치키스,Watashi no koi wa hoccikisu,,,
케이온,https://youtu.be/glB-smWwBIo,Fude Pen Ball Pen,,후데펜볼펜,Fude pen ball pen,,,
러키스타,https://www.youtube.com/watch?v=wLtVF8VUlw8,가져가! 세라복,가져가세일러복,못테케세라후쿠,mottekeserafuku,,,
러키스타,https://www.youtube.com/watch?v=zY_2Rg6YBqg,돈다케 팡파레,,돈다케 팡파레,dondake fanfare,,,
러키스타,https://www.youtube.com/watch?v=OpJM3cHVmZs,돌려줘 니삭스,돌려줘 니삭스,카에시테 니삭스,Kaeshite Nisokkusu,,,
러키스타,https://www.youtube.com/watch?v=9pAHsMkFlvs&t=157s,잠자기로 리셋!,잠자기로 리셋,네니게데리셋,Nenigederisetto,,,
러키스타,https://www.youtube.com/watch?v=9mWSQt6VPnk,코슷테 오 마이 허니,코스라니 오 나의 허니,코슷테오마이하니,kosutteomaihani,,,
러키스타,https://www.youtube.com/watch?v=fbVTKHHqLrk,Kenka yohou no jikanda yo,싸움예보시간입니다,켄카요호우노지칸다요,kenka yohou no jikanda yo,,,
러키스타,https://www.youtube.com/watch?v=IsdEEfIWoKE,100%아니야 아니야 아니야,100%아니야 아니야 아니야,100%나이나이나이,100%nainainai,,,
아이돌,https://www.youtube.com/watch?v=g-Bj9L_DdXM,Snow Halation,스노우 할레이션,스노할레이션,Snow Halation,,,
아이돌,https://youtu.be/1EliLP0ASxE,우리들은 지금 속에서,우리들은 지금 속에서,보쿠라와이마노나카데,Bokurawa Ima No Nakade,,,
아이돌,https://youtu.be/t3AVCmtKdew,분명 청춘이 들려올거야,분명청춘이들려올거야,킷토세이슌가키코에루,Kitto Seishun ga kikoeru,,,
아이돌,https://www.youtube.com/watch?v=RcYtUeu4EqQ,우리는 하나의 빛,우리는 하나의 빛,보쿠타치와 히토츠노 히카리,Bokutachiwa hitotsu no hikari,,,
아이돌,https://www.youtube.com/watch?v=wveXOvrfgMY&t=95s,미숙 드리머,미숙Dreamer,미숙 드리머,Mijuku DREAMER,,,
아이돌,https://youtu.be/mO20a-BFIbA,푸른 하늘 Jumping Heart,푸른 하늘 Jumping Heart,푸른 하늘 점핑하트,Aozora Jumping Heart,,,
아이돌,https://youtu.be/_7uLfiTtQeY,NEO SKY NEO MAP,,네오 스카이 네오 맵,NEO SKY NEO MAP,,,
아이돌,https://youtu.be/35WteJ60cps,Start!! True dreams,,스타트 트루 드림즈,Start true dreams,,,
보컬로이드,https://youtu.be/QBkmQRjMzrI,하츠네 미쿠의 소실,하츠네미쿠의소실,하츠네미쿠노쇼시츠,HatsuneMikuNoShositsu,,,
보컬로이드,https://youtu.be/Xg-qfsKN2_E,로키,로키,로키,ROKI,,,
보컬로이드,https://www.youtube.com/watch?v=3SkNrZnoK5w,마음짓기,마음짓기,코코로나라시,Kokoro Narashi,,,
보컬로이드,https://www.youtube.com/watch?v=0HYm60Mjm0k&feature=emb_title,생명에게 미움받고 있어,생명에게 미움받고있어,이노치니키라와레테이루,Inochi ni kiraware te iru,,,
보컬로이드,https://youtu.be/XogSflwXgpw,내일의 밤하늘 초계반,내일의 밤하늘 초계반,아스노 요조라 쇼우카이한,Asunoyozora Shoukaihan,,,
보컬로이드,https://youtu.be/8oBV3jPTW4s,로스트 원의 호곡,로스트 원의 호곡,Lost ones weeping,lost ones goukoku,,,
보컬로이드,https://www.youtube.com/watch?v=kDGIrivtarE,니아,니어,니아,Near,,,
보컬로이드,https://youtu.be/PqJNc9KVIZE,Tell Your World,,텔 유어 월드,Tell Your World,,,
보컬로이드,https://youtu.be/6OmwKZ9r07o,ODDS & ENDS,,오드앤엔드,odds&ends,,,
보컬로이드,https://youtu.be/jfL1M2vYqz8,Just Be Friends,,저스트 비 프렌즈,Just Be Friends,,,
보컬로이드,https://youtu.be/RUpTZ-O92GQ,From Y to Y,,프롬 와이 투 와이,From Y to Y,,,
보컬로이드,https://youtu.be/SciC4eedP0U,Calc,,칼크,Calc,,,
보컬로이드,https://youtu.be/Gczpebdftdc,블랙★록 슈터,,블랙록슈터,Black Rock Shooter,,,
보컬로이드,https://youtu.be/-M4sAQYi6r4,하로/하와유,,하로 하와유,Hello How Are You,,,
보컬로이드,https://youtu.be/ikgQhG4AlVk,포핏포,,포핏포,Popippo,,,
보컬로이드,https://youtu.be/rePFEUu7YZs,테러,테러,테로루,terror,,,
보컬로이드,https://youtu.be/-y3BSoHOT9A,키사라기 어텐션,,키사라기 어텐션,Kisaragi Attention,,,
보컬로이드,https://youtu.be/op3lPBDHEXs,좋아 싫어,좋아 싫어,스키 키라이,suki kirai,,,
보컬로이드,https://youtu.be/Om3MTou2kPg,육조년과 하룻밤 이야기,육조년과 하룻밤 이야기,,Six Trillion Years And overnight story,,,
보컬로이드,https://youtu.be/8kFSioLftx4,월드 이즈 마인,,월드 이즈 마인,World is mine,,,
보컬로이드,https://youtu.be/TXzfQ0cP1P0,연애재판,Renai Saiban,연애재판,Love Trial,,,
보컬로이드,https://youtu.be/clPjNKWe6N0,아이러니,,아이러니,Irony,,,
보컬로이드,https://www.youtube.com/watch?v=eIjisTHzoXc,아스트로넛,,아스트로넛,Astronaut,,,
보컬로이드,https://youtu.be/L0tcMxp8Iy8,가지마,가지마,이카나이데,Ikanaide,,,
보컬로이드,https://youtu.be/B-A2eYlbrwQ,겁쟁이 몽블랑,겁쟁이몽블랑,요와무시몽블랑,YowamushiMontBlanc,,,
보컬로이드,https://youtu.be/b_cuMcDWwsI,겉과 속의 러버즈,겉과속의러버즈,우라오모테러버즈,UraOmoteLovers,,,
보컬로이드,https://youtu.be/xzoShzMIlIM,공주열차,,공주열차,Daydream Skytrain,,,
보컬로이드,https://youtu.be/xxFkW3PCT5M,꼭두각시 피에로,꼭두각시 피에로,카라쿠리피에로,Karakuri Pierrot,,,
보컬로이드,https://youtu.be/p2Irc9NPCtk,누덕누덕 스타카토,누덕누덕 스타카토,츠기하기스타카토,Patchwork staccato,,,
보컬로이드,https://youtu.be/86_kvUqhY-A,멜랑콜릭,멜랑콜릭,멜랑콜릭,melancholic,,,
보컬로이드,https://www.youtube.com/watch?v=Ut5Eg_zOBTA,멜트,멜트,메루토,Melt,,,
보컬로이드,https://youtu.be/Dx9m4jpocAc,미쿠미쿠하게 해줄게,미쿠미쿠하게 해줄게,미쿠미쿠니 시테아게루,miku miku ni shite ageru,,,
보컬로이드,https://youtu.be/ZOrWUBPykOk,사랑의 말,사랑의 말,아이코토바,Ai Kotoba,,,
보컬로이드,https://youtu.be/-cT1zaotfuU,사랑하는 보컬로이드,사랑하는 보컬로이드,코이스루보컬로이드,Koisuru vocaloid,,,
보컬로이드,https://www.youtube.com/watch?v=WyeFfNH9Upc,지구최후의 고백을,지구최후의 고백을,치큐우사이고우노코하쿠오,the last confession on earth,,,
보컬로이드,https://youtu.be/EBd1dk0kLTs,세츠나트립,순간여행,세츠나트립,Setsuna Trip,,,
보컬로이드,https://youtu.be/JW3N-HvU0MA,소녀 레이,소녀 레이,쇼우죠레이,Shoujo Rei,,,
보컬로이드,https://youtu.be/lv8ECQjrrXU,스트리밍 하트,,스트리밍 하트,Streaming Heart,,,
보컬로이드,https://youtu.be/2CwBFr-Eoxg,심해소녀,심해소녀,신카이쇼우죠,Shinkai Shoujo,,,
기타,https://www.youtube.com/watch?v=hpn6NOCCahA,작은 사랑의 노래,작은 사랑의 노래,치이사나 코이노 우타,Chiisana Koi no Uta,,,
하루히,https://www.youtube.com/watch?v=1kggr5pU9JA,하레 하레 유카이,맑게맑게유쾌하게,하레하레유카이,HareHareYukai,,,
하루히,https://www.youtube.com/watch?v=WWB01IuMvzA,God Knows...,,갓노우즈,GodKnows,,,
하루히,https://www.youtube.com/watch?v=MI_wWlz2Rck,Lost My Music,,로스트마이뮤직,LostMyMusic,,,
하루히,https://www.youtube.com/watch?v=CsA-YtxZoxM,Lost My Music (ver.나카노 유카),Lost My Music  ver 나카노 유카,로스트 마이 뮤직 ver 나카노 유카,LostMyMusicVerNakanoYuka,,,
하루히,https://www.youtube.com/watch?v=m9LRERMcOm0,모험이지 그렇지,모험이지 그렇지,보우켄데쇼데쇼,BoukenDeshoDesho,,,
하루히,https://www.youtube.com/watch?v=8pJeix2zeBE&,눈 무음 창가에서,눈 무음 창가에서,유키무온마도베니테,YukiMuonMadobenite,,,
하루히,https://youtu.be/gI2ZRVTSmtY,지금까지의 이야기,지금까지의 이야기,이마마데노아라스지,ima made no arasuji,,,
하루히,https://www.youtube.com/watch?v=TthwZJfwtL0,단순한 비밀,단순한 비밀,타다노히미츠,tada no himitsu,,,
하루히,https://www.youtube.com/watch?v=5R1rpSSTDMQ,멈춰라!,멈춰라,토마레,Tomare,,,
하루히,https://www.youtube.com/watch?v=3_PWCB-kfJM,모험이지 그렇지 ver.현주,모험이지 그렇지 ver.현주,보우켄데쇼데쇼겐소우ver,BoukenDeshoDeshoGensouVer,,,
하루히,https://www.youtube.com/watch?v=cdOZogTrw-U,그 상태로 JET JUMPER,그 상태로 JET JUMPER,소노마마제트점퍼,Sono mama JET JUMPER,,,
하루히,https://www.youtube.com/watch?v=NqVZNGcegmY&feature=emb_title,SELECT?,,셀렉트,SELECT,,,
하루히,https://www.youtube.com/watch?v=7zhgyAbsMko&feature=emb_title,하레 하레 유카이 ver.하루히,맑음맑음유쾌 하루히ver,하레하레유카이 하루히ver,hare hare yukai haruhi ver,,,
하루히,https://www.youtube.com/watch?v=N31laxAQmOk&feature=emb_title,사랑의 미쿠루 전설 ver.현주,사랑의 미쿠루 전설 ver.현주,코이노미쿠루덴세츠겐소우ver,koi no mikuru densetsu gensou ver,,,
하루히,https://www.youtube.com/watch?v=jkSac6dJ2_8&feature=emb_title,Punkish Regular,,펑키시 레귤러,punkish regular,,,
하루히,https://www.youtube.com/watch?v=YuRuyGUEpok&feature=emb_title,최강 퍼레 퍼레이드,최강퍼레퍼레이드,사이쿄우파레파레이도,Saikyou Pare Parede,,,
하루히,https://www.youtube.com/watch?v=aHg3yJXGkdg,상냥한 망각 (sonority),상냥한망각sonority,야사시이 보우캬쿠 sonority,Yasashii Boukyaku sonority,,,
하루히,https://www.youtube.com/watch?time_continue=1&v=B4-iHImDrmk&feature=emb_title,Super Driver,,슈퍼 드라이버,Super Driver,,,
하루히,https://youtu.be/pK8ESpXJEPg,상냥한 망각 (sincerity),상냥한 망각 sincerity,야사시이 보우캬쿠 sincerity,Yasashii Boukyaku Sincerity,,,
하루히,https://youtu.be/A7VDO0XrIR0,추신 비슷한 것,추신 비슷한 것,아토가키노 요우나 모노,Atogakino youna mono,,,
하루히,https://www.youtube.com/watch?v=6BBTe3VyniE,마지막 미래를 보여줘,최종 미래를 보여줘,사이슈우미라이오미세테,Saishuu Mirai Wo Misete,,,
하루히,https://youtu.be/dWXcreQVtRk,사랑해!,사랑해!,아이시테,Aishite,,,
하루히,https://youtu.be/86Q_ana7kuw,Parallel Days,Parallel Days,패러렐데이즈,,,,
하루히,https://youtu.be/idT23efni9M,BE BE BEAT,BE BE BEAT,,,,,
하루히,https://youtu.be/P0mgOSdfTs4,권태라이프 리턴즈! feat.스즈미야 하루히 (히라노 아야),권태라이프 리턴즈! feat.스즈미야 하루히 (히라노 아야),켄타이라이후리타안즈,kentai raifu ritaanzu,,,
하루히,https://youtu.be/GcrOx-mvOoI,구부러져라↓ 스펙터클,구부러져라↓ 스펙터클,마가레 스펙타클,maggaare spectacle,,,
하루히,https://youtu.be/_VkRXkiQl6s,시시한 이야기예요 라고 저는 말할겁니다,시시한 이야기예요 라고 저는 말할겁니다,츠마라나이하나시데스요토보쿠와이우,tsumaranai hanashi desu yo to boku wa iu,,,
하루히,https://youtu.be/8aKSnW85NuY,그날의 하늘은 반드시 푸르다,그날의 하늘은 반드시 푸르다,소노히소라와킷토아오이,sono hi sora wa kitto aoi,,,
하루히,https://youtu.be/MKDdxEecWhU,눈 무음 창가에서 현주 ver.,눈 무음 창가에서 현주 ver.,유키무온마도베니테ver겐소우,yuki muon madobenite ver gensou,,,
하루히,https://youtu.be/THNwKmbj4GM,잠재적 태양의 증명,잠재적 태양의 증명,,,,,
하루히,https://youtu.be/-mpProSVhx4,사랑의 미쿠루 전설,사랑의 미쿠루 전설,코이노미쿠루덴세츠,koi no mikuru densetsu,,,
하루히,https://youtu.be/b9FFZMSBiTc,God knows... 현주 ver.,God knows... 현주 ver.,,god knows ver gensou,,,
하루히,https://youtu.be/HMgO2Da9QZA,바람을 읽는 리본,바람을 읽는 리본,카제요미리본,kaze yomi ribbon,,,
하루히,https://youtu.be/ME0dxkpSdCQ,통과지점의 MUSICA,통과지점의 MUSICA,츠우카치텐노musica,tsuuka chiten no musica,,,
하루히,https://youtu.be/kGT4zPkmb28,운명적 사건의 행복,운명적 사건의 행복,,,,,
하루히,https://youtu.be/iyg6qKOT-Uw,그래도 지구가 돌고 있으니까,그래도 지구가 돌고 있으니까,닷테치큐우와마와루카라,datte chikyuu wa mawaru kara,,,
하루히,https://youtu.be/Xs0XD-SuBtU,맑게 맑게 유쾌하게 ~Ver.나가토 유키~,맑게 맑게 유쾌하게 ~Ver.나가토 유키~,하레하레유카이 ver 나가토 유키,hare hare yukai ver nagato yuki,,,
하루히,https://youtu.be/KaS3-zVlm2o,COOL EDITION,COOL EDITION,쿨 에디션,,,,
하루히,https://youtu.be/kklk1O6j2Ng,Greed's Accident,Greed's Accident,,,,,
하루히,https://youtu.be/4JYxD9xVwXQ,맑게 맑게 유쾌하게 현주 ver.,맑게 맑게 유쾌하게 현주 ver.,하레하레유카이 ver 겐소우,hare hare yukai ver gensou,,,
하루히,https://youtu.be/AMr3xiu1skk,Welcome UNKNOWN,Welcome UNKNOWN,45.28%,,,,
하루히,https://youtu.be/rg9PkFEs2ZE,Lost my music 현주 ver.,Lost my music 현주 ver.,로스트마이뮤직ver겐소우,lost my music ver gensou,,,
하루히,https://youtu.be/l-8Daiqs4xc,청춘이란거 좋잖아?,청춘이란거 좋잖아?,세이슌이이캬나이카,seishun ii ja nai ka,,,
하루히,https://youtu.be/zkI10dHD4ZA,맑게 맑게 유쾌하게 ~Ver.쿈~,맑게 맑게 유쾌하게 ~Ver.쿈~,하레하레유카이ver쿈,hare hare yukai ver kyon,,,
하루히,https://youtu.be/zlPjJycSpQU,맑게 맑게 유쾌하게 ~Ver.아사히나 미쿠루~,맑게 맑게 유쾌하게 ~Ver.아사히나 미쿠루~,하레하레유카이ver미쿠루,hare hare yukai ver mikuru,,,
하루히,https://youtu.be/IdRjcMAiubY,맑게 맑게 유쾌하게 ~Ver.츠루야 씨~,맑게 맑게 유쾌하게 ~Ver.츠루야 씨~,하레하레유카이ver츠루야,hare hare yukai ver tsuruya,,,
하루히,https://youtu.be/A7DYQjuGxgg,First Good Bye,First Good Bye,,,,,
하루히,https://youtu.be/65LhHQLh2QI,새끼손가락으로 꾸욱!,새끼손가락으로 꾸욱!,코유비데규,koyubidegyu,,,
하루히,https://youtu.be/GthPv4lSZ6I,When I was in love,When I was in love,,,,,
하루히,https://youtu.be/-Tnr2PZkqWM,SOS라면 괜찮아,SOS라면 괜찮아,sos나라다이죠부,sos nara daijoobu,,,
하루히,https://youtu.be/YlXrqLvst80,꼴사나운 모습은 보이지 마,꼴사나운 모습은 보이지 마,삼성전자주식,dont show less than record breaking,,,
하루히,https://youtu.be/J7YYQUYbLLg,맑게 맑게 유쾌하게 ~Ver.아사쿠라 료코~,맑게 맑게 유쾌하게 ~Ver.아사쿠라 료코~,하레하레유카이ver아사쿠라 료코,hare hare yukai ver asakura ryoko,,,
하루히,https://youtu.be/2dV-VPDKGdU,찾아봐요 Happy Life,찾아봐요 Happy Life,미츠케테 happy life,mitsukete happy life,,,
하루히,https://youtu.be/8vsCmSOJ-fE,Miracle encore,Miracle encore,미라클앙코르,,,,
하루히,https://youtu.be/lGLGBFfYq-4,Wonder trip,Wonder trip,원더트립,,,,
하루히,https://youtu.be/QtXutVcPifI,인생의 주역 콜!,인생의 주역 콜!,진세이노슈야쿠콜,jinsei no shuyaku call,,,
하루히,https://youtu.be/vQ_0nD0QE4E,Star way to heaven,Star way to heaven,,,,,
하루히,https://youtu.be/1y8i3Uuc0j0,I am Freedom,I am Freedom,자유,,,,
하루히,https://youtu.be/e69kpBHxUq4,under Mebius,under Mebius,메비우스의 아래에서,,,,
하루히,https://youtu.be/oyW6CpcIdro,맑게 맑게 유쾌하게 ~Ver.코이즈미 이츠키~,맑게 맑게 유쾌하게 ~Ver.코이즈미 이츠키~,하레하레유카이ver코이즈미 이츠키,hare hare yukai ver koizumi itsuki,,,
하루히,https://youtu.be/MX7ODa6BwIQ,호모 사피엔스 랩소디,호모 사피엔스 랩소디,,homo sapiens rhapsody,,,
하루히,https://youtu.be/E7NfdUB_ugk,Secret of sensation,Secret of sensation,시크릿 오브 센세이션,,,,
하루히,https://youtu.be/ZFOeNPv8Udc,SIXTH SENSE ADVENTURE,SIXTH SENSE ADVENTURE,식스센스어드벤쳐,,,,
하루히,https://youtu.be/zmR1OSIhM8g,어... 리턴즈해서 리벤지!,어... 리턴즈해서 리벤지!,엣토리턴즈시테리벤지,etto returns shite revenge,,,
하루히,https://youtu.be/sLsBCjeQNyo,세계가 꿈꾸는 꿈의 한 가운데에서,세계가 꿈꾸는 꿈의 한 가운데에서,세카이가유메미루유메노나카,sekai ga yumemiru yume no naka,,,
하루히,https://youtu.be/ixQfOedXWT0,호기심 가득,호기심 가득,메갓사코우키신,megassa koukishin,,,
하루히,https://youtu.be/wuQDimt2c1c,제사 후 제사! 어서 오세요,제사 후 제사! 어서 오세요,마츳테마츳테이랏샤,matsutte matsutte irassha,,,
하루히,https://youtu.be/xjILqYX6Qpg,시간의 퍼즐,시간의 퍼즐,토키노퍼즐,toki no puzzle,,,
하루히,https://youtu.be/3wB9HSlsoj4,시끄러운 가짜 The End,시끄러운 가짜 The End,오사와가세노디엔드,osawa ga se no the end,,,
하루히,https://youtu.be/yc8NiSWbvSc,맑게 맑게 유쾌하게 ~Ver.키미도리 에미리~,맑게 맑게 유쾌하게 ~Ver.키미도리 에미리~,하레하레유카이 ver 키미도리 에미리,hare hare yukai ver kimidori emiri,,,
하루히,https://youtu.be/FpSRlEn9gWY,하지만 그게 다가 아니야,하지만 그게 다가 아니야,다가소레다케쟈나이,daga sore dake janai,,,
하루히,https://youtu.be/7YKMMK680D4,fixed mind,fixed mind,20.75%,,,,
하루히,https://youtu.be/D6jqzkzGNAw,이상해요 무서워요,이상해요 무서워요,헨데스코와이데스,hen desu kowai desu,,,
하루히,https://youtu.be/Yp9he4jTSQ4,여동생을 잊으면 사형이야,여동생을 잊으면 사형이야,이모우토 와스레챠 오시오키 요,imouto wasurecha oshioki yo,,,
하루히,https://youtu.be/Xu12vVY8thc,<친구로서는 그거>가 되고 있다,<친구로서는 그거>가 되고 있다,토모다치 토 시테 와 소레 가,tomodachi to shite wa sore ga,,,
하루히,https://youtu.be/oYwr68ObbMg,맑게 맑게 유쾌하게 ~Ver.쿈의 여동생~,맑게 맑게 유쾌하게 ~Ver.쿈의 여동생~,하레하레유카이ver쿈 여동생,hare hare yukai ver kyon imouto,,,
하루히,https://youtu.be/4FVXu5r6cBE,편안한 완전 수동 공간,편안한 완전 수동 공간,라쿠라쿠스이토우쿠우칸,rakuraku kanzen suitou kuukan,,,
하루히,https://youtu.be/DRQv9pLak1I,놀이와 배움의 고요함,놀이와 배움의 고요함,아소비노마나비노시즈케사노,asobinomanabisoshizukesano,,,
하루히,https://www.youtube.com/watch?v=9VE69iqNCfI,God Knows... Ver.호죠 카렌,God Knows... Ver.호죠 카렌,갓노우즈 ver 호죠 카렌,god knows ver hojo karen,,,
하루히,https://www.youtube.com/watch?v=evSmWScDWMw,맑게 맑게 유쾌하게 Ver.유메미 리아무,맑게 맑게 유쾌하게 Ver.유메미 리아무,하레하레유카이ver 유메미 리아무,hare hare yukai ver yumemi riamu,,,
하루히,https://www.youtube.com/watch?v=RvMVoXeIOik,모험이잖아 그렇지 ver.프레데리카,모험이잖아 그렇지 ver.프레데리카,보켄데쇼 ver 프레데리카,bouken desho ver frederica,,,
하루히,https://www.youtube.com/watch?v=UFVYFshNUGY,god knows ver hatsune miku,갓노우즈 ver 하츠네 미쿠,god knows ver hatsune miku,,,,
